Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2024-09-01 00:00:00,12,38.0,1.0,57.0,1.0,-9999.0,1.0,2.4042,1.0,24.3791,1.0,26.7834,1.0,-9999.0,1.0,-9999.0,1.0,1.72212,2.1,-9999.0,1.0,177.742,1.0,78.705,1.0,640.549,1.0,0.02,1.0,-9999.0,1.0,22.792,1.0,0.517,1.0
2024-09-01 01:00:00,12,37.0,1.0,53.0,1.0,-9999.0,1.0,1.8895,1.0,19.5444,1.0,21.4339,1.0,-9999.0,1.0,-9999.0,1.0,1.78813,2.5,-9999.0,1.0,182.035,1.0,83.596,1.0,640.126,1.0,0.0,1.0,-9999.0,1.0,22.463,1.0,0.617,1.0
2024-09-01 02:00:00,12,30.0,1.0,47.0,1.0,-9999.0,1.0,2.2874,1.0,18.064,1.0,20.3514,1.0,-9999.0,1.0,-9999.0,1.0,1.64279,2.5,-9999.0,1.0,205.628,1.0,84.233,1.0,640.127,1.0,0.01,1.0,-9999.0,1.0,22.264,1.0,0.199,1.0
2024-09-01 03:00:00,12,35.0,1.0,51.0,1.0,-9999.0,1.0,0.8593,1.0,17.8692,1.0,18.7284,1.0,-9999.0,1.0,-9999.0,1.0,1.79137,2.5,-9999.0,1.0,37.407,1.0,98.073,1.0,640.976,1.0,5.01,1.0,-9999.0,1.0,17.01,1.0,0.191,1.0
2024-09-01 04:00:00,12,4.0,1.0,24.0,1.0,-9999.0,1.0,-1.9033,3.0,8.9217,2.6,7.0184,2.6,-9999.0,1.0,-9999.0,1.0,0.78211,2.5,-9999.0,1.0,195.702,1.0,96.922,1.0,641.958,1.0,1.42,1.0,-9999.0,1.0,16.473,1.0,0.1,1.0
2024-09-01 05:00:00,12,7.0,1.0,12.0,2.1,-9999.0,1.0,-0.3675,3.0,16.7365,2.6,16.369,2.6,-9999.0,1.0,-9999.0,1.0,0.387345,2.5,-9999.0,1.0,184.5,1.0,95.794,1.0,642.89,1.0,1.55,1.0,-9999.0,1.0,16.434,1.0,0.264,1.0
2024-09-01 06:00:00,12,8.0,2.1,13.0,2.1,-9999.0,1.0,-0.5199,3.0,18.1154,2.6,17.5955,2.6,-9999.0,1.0,-9999.0,1.0,0.383925,2.5,-9999.0,1.0,262.152,1.0,95.788,1.0,642.881,1.0,0.3,1.0,-9999.0,1.0,16.494,1.0,0.006,1.0
2024-09-01 07:00:00,12,10.0,2.1,17.0,2.1,-9999.0,1.0,1.5402,2.1,21.9124,1.0,23.4525,1.0,-9999.0,1.0,-9999.0,1.0,0.253562,2.5,-9999.0,1.0,157.994,1.0,94.719,1.0,643.167,1.0,0.27,1.0,-9999.0,1.0,16.972,1.0,0.16,1.0
2024-09-01 08:00:00,12,14.0,2.6,12.0,2.6,-9999.0,1.0,3.3655,1.0,22.4542,1.0,25.8196,1.0,-9999.0,1.0,-9999.0,1.0,0.173059,2.5,-9999.0,1.0,352.065,1.0,90.28,1.0,642.866,1.0,0.01,1.0,-9999.0,1.0,18.289,1.0,0.087,1.0
2024-09-01 09:00:00,12,24.0,2.6,22.0,2.6,-9999.0,1.0,6.222,2.1,22.786,1.0,29.008,1.0,-9999.0,1.0,-9999.0,1.0,0.237315,2.5,-9999.0,1.0,26.958,1.0,81.9,1.0,642.323,1.0,0.0,1.0,-9999.0,1.0,20.519,1.0,0.083,1.0
2024-09-01 10:00:00,12,8.0,2.1,24.0,1.0,-9999.0,1.0,3.4269,1.0,16.7494,1.0,20.1763,1.0,-9999.0,1.0,-9999.0,1.0,0.281268,2.5,-9999.0,1.0,178.798,1.0,72.823,1.0,641.945,1.0,0.0,1.0,-9999.0,1.0,22.709,1.0,0.262,1.0
2024-09-01 11:00:00,12,18.0,1.0,29.0,1.0,-9999.0,1.0,3.3128,1.0,21.005,1.0,24.3178,1.0,-9999.0,1.0,-9999.0,1.0,0.333537,2.5,-9999.0,1.0,247.486,1.0,62.483,1.0,640.922,1.0,0.0,1.0,-9999.0,1.0,25.687,1.0,0.1,1.0
2024-09-01 12:00:00,12,16.0,1.0,30.0,1.0,-9999.0,1.0,0.0154,1.0,20.98,1.0,20.9955,1.0,-9999.0,1.0,-9999.0,1.0,0.138346,2.5,-9999.0,1.0,217.142,1.0,56.221,1.0,640.156,1.0,0.0,1.0,-9999.0,1.0,27.542,1.0,0.353,1.0
2024-09-01 13:00:00,12,15.0,1.0,30.0,1.0,-9999.0,1.0,0.5525,1.0,18.8751,1.0,19.4277,1.0,-9999.0,1.0,-9999.0,1.0,0.237424,2.5,-9999.0,1.0,195.444,1.0,53.582,1.0,639.27,1.0,0.0,1.0,-9999.0,1.0,28.192,1.0,0.727,1.0
2024-09-01 14:00:00,12,28.0,1.0,41.0,1.0,-9999.0,1.0,1.3476,1.0,14.7901,1.0,16.1377,1.0,-9999.0,1.0,-9999.0,1.0,0.287908,2.5,-9999.0,1.0,200.637,1.0,49.782,1.0,638.3,1.0,0.0,1.0,-9999.0,1.0,29.708,1.0,0.156,1.0
2024-09-01 15:00:00,12,27.0,1.0,30.0,1.0,-9999.0,1.0,0.5346,1.0,13.0712,1.0,13.6058,1.0,-9999.0,1.0,-9999.0,1.0,0.653491,2.5,-9999.0,1.0,295.377,1.0,48.588,1.0,637.896,1.0,0.0,1.0,-9999.0,1.0,30.189,1.0,0.262,1.0
2024-09-01 16:00:00,12,28.0,2.6,27.0,2.6,-9999.0,1.0,-0.5591,3.0,12.251,2.6,11.6919,2.6,-9999.0,1.0,-9999.0,1.0,0.65027,2.5,-9999.0,1.0,25.384,1.0,61.058,1.0,638.559,1.0,0.0,1.0,-9999.0,1.0,24.089,1.0,0.77,1.0
2024-09-01 17:00:00,12,9.0,1.0,24.0,2.1,-9999.0,1.0,-1.5359,3.0,15.5154,2.6,13.9796,2.6,-9999.0,1.0,-9999.0,1.0,0.183957,2.5,-9999.0,1.0,20.365,1.0,65.15,1.0,638.986,1.0,0.01,1.0,-9999.0,1.0,23.303,1.0,0.668,1.0
2024-09-01 18:00:00,12,5.0,1.0,12.0,2.1,-9999.0,1.0,-0.7514,3.0,22.7127,2.6,21.9612,2.6,-9999.0,1.0,-9999.0,1.0,0.237676,2.5,-9999.0,1.0,357.182,1.0,76.058,1.0,639.738,1.0,1.03,1.0,-9999.0,1.0,22.166,1.0,0.686,1.0
2024-09-01 19:00:00,12,22.0,1.0,24.0,2.1,-9999.0,1.0,0.2487,2.1,28.6369,1.0,28.8856,1.0,-9999.0,1.0,-9999.0,1.0,0.523217,2.5,-9999.0,1.0,29.933,1.0,88.574,1.0,640.18,1.0,1.85,1.0,-9999.0,1.0,20.123,1.0,0.16,1.0
2024-09-01 20:00:00,12,31.0,1.0,36.0,1.0,-9999.0,1.0,21.0651,1.0,30.4916,1.0,51.5568,2.2,-9999.0,1.0,-9999.0,1.0,0.524453,2.5,-9999.0,1.0,19.859,1.0,94.939,1.0,641.227,1.0,4.47,1.0,-9999.0,1.0,18.693,1.0,0.379,1.0
2024-09-01 21:00:00,12,19.0,1.0,25.0,1.0,-9999.0,1.0,0.0349,2.1,24.0406,1.0,24.0755,1.0,-9999.0,1.0,-9999.0,1.0,0.228497,2.5,-9999.0,1.0,30.65,1.0,95.188,1.0,641.913,1.0,0.01,1.0,-9999.0,1.0,18.309,1.0,0.156,1.0
2024-09-01 22:00:00,12,25.0,1.0,26.0,1.0,-9999.0,1.0,-3.9956,3.0,25.1928,2.6,21.1972,2.6,-9999.0,1.0,-9999.0,1.0,0.173062,2.5,-9999.0,1.0,19.054,1.0,95.494,1.0,641.991,1.0,0.0,1.0,-9999.0,1.0,18.57,1.0,0.16,1.0
2024-09-01 23:00:00,12,32.0,1.0,39.0,1.0,-9999.0,1.0,6.4861,1.0,33.1995,1.0,39.6856,1.0,-9999.0,1.0,-9999.0,1.0,0.437949,2.5,-9999.0,1.0,49.524,1.0,94.726,1.0,641.842,1.0,0.39,1.0,-9999.0,1.0,18.775,1.0,0.068,1.0
2024-09-02 00:00:00,12,26.0,1.0,40.0,1.0,-9999.0,1.0,1.3587,1.0,31.299,1.0,32.6577,1.0,-9999.0,1.0,-9999.0,1.0,0.438727,2.1,-9999.0,1.0,262.592,1.0,95.941,1.0,641.388,1.0,0.13,1.0,-9999.0,1.0,18.743,1.0,0.083,1.0
2024-09-02 01:00:00,12,29.0,1.0,40.0,1.0,-9999.0,1.0,20.7605,1.0,31.1267,1.0,51.8872,1.0,-9999.0,1.0,-9999.0,1.0,0.808229,2.5,-9999.0,1.0,172.842,1.0,95.408,1.0,641.101,1.0,0.24,1.0,-9999.0,1.0,19.038,1.0,0.101,1.0
2024-09-02 02:00:00,12,21.0,1.0,38.0,1.0,-9999.0,1.0,13.6469,1.0,31.6628,1.0,45.3097,1.0,-9999.0,1.0,-9999.0,1.0,0.700809,2.5,-9999.0,1.0,190.487,1.0,93.377,1.0,640.975,1.0,0.18,1.0,-9999.0,1.0,18.674,1.0,0.452,1.0
2024-09-02 03:00:00,12,19.0,1.0,24.0,1.0,-9999.0,1.0,-3.8354,3.0,18.3505,2.6,14.5151,2.6,-9999.0,1.0,-9999.0,1.0,0.696512,2.5,-9999.0,1.0,186.45,1.0,94.868,1.0,640.915,1.0,0.42,1.0,-9999.0,1.0,17.969,1.0,0.376,1.0
2024-09-02 04:00:00,12,25.0,1.0,28.0,1.0,-9999.0,1.0,-4.1944,3.0,15.7097,2.6,11.5152,2.6,-9999.0,1.0,-9999.0,1.0,0.389849,2.5,-9999.0,1.0,181.32,1.0,95.074,1.0,641.059,1.0,0.1,1.0,-9999.0,1.0,17.501,1.0,0.042,1.0
2024-09-02 05:00:00,12,13.0,1.0,19.0,1.0,-9999.0,1.0,-4.266,3.0,17.7778,2.6,13.5118,2.6,-9999.0,1.0,-9999.0,1.0,0.174489,2.5,-9999.0,1.0,358.754,1.0,96.05,1.0,640.728,1.0,0.0,1.0,-9999.0,1.0,17.502,1.0,0.063,1.0
2024-09-02 06:00:00,12,40.0,1.0,48.0,1.0,-9999.0,1.0,56.0547,1.0,33.6647,1.0,89.7195,1.0,-9999.0,1.0,-9999.0,1.0,0.953767,2.5,-9999.0,1.0,193.277,1.0,95.489,1.0,641.024,1.0,0.0,1.0,-9999.0,1.0,17.914,1.0,0.091,1.0
2024-09-02 07:00:00,12,46.0,1.0,55.0,1.0,-9999.0,1.0,94.069,2.2,39.7209,1.0,133.79,1.0,-9999.0,1.0,-9999.0,1.0,1.90137,2.5,-9999.0,1.0,338.559,1.0,89.674,1.0,641.593,1.0,0.0,1.0,-9999.0,1.0,19.748,1.0,0.397,1.0
2024-09-02 08:00:00,12,46.0,1.0,66.0,1.0,-9999.0,1.0,96.853,2.2,48.4696,1.0,145.323,1.0,-9999.0,1.0,-9999.0,1.0,2.83878,2.5,-9999.0,1.0,123.381,1.0,80.029,1.0,641.709,1.0,0.0,1.0,-9999.0,1.0,21.733,1.0,0.165,1.0
2024-09-02 09:00:00,12,42.0,1.0,62.0,1.0,-9999.0,1.0,29.1474,1.0,45.3391,1.0,74.4865,1.0,-9999.0,1.0,-9999.0,1.0,1.39467,2.5,-9999.0,1.0,158.332,1.0,72.217,1.0,641.641,1.0,0.0,1.0,-9999.0,1.0,23.776,1.0,0.344,1.0
2024-09-02 10:00:00,12,48.0,1.0,62.0,1.0,-9999.0,1.0,19.7208,1.0,48.1263,1.0,67.8471,1.0,-9999.0,1.0,-9999.0,1.0,1.1886,2.5,-9999.0,1.0,138.994,1.0,68.528,1.0,641.079,1.0,0.0,1.0,-9999.0,1.0,24.752,1.0,0.328,1.0
2024-09-02 11:00:00,12,51.0,1.0,62.0,1.0,-9999.0,1.0,11.8726,1.0,36.9113,1.0,48.7839,1.0,-9999.0,1.0,-9999.0,1.0,1.34313,2.5,-9999.0,1.0,205.384,1.0,56.916,1.0,640.07,1.0,0.0,1.0,-9999.0,1.0,27.593,1.0,0.481,1.0
2024-09-02 12:00:00,12,40.0,1.0,53.0,1.0,-9999.0,1.0,6.2023,1.0,25.3989,1.0,31.6013,1.0,-9999.0,1.0,-9999.0,1.0,0.73289,2.5,-9999.0,1.0,228.326,1.0,54.389,1.0,639.13,1.0,0.0,1.0,-9999.0,1.0,28.561,1.0,0.095,1.0
2024-09-02 13:00:00,12,41.0,1.0,58.0,1.0,-9999.0,1.0,1.1004,1.0,18.5123,1.0,19.6127,1.0,-9999.0,1.0,-9999.0,1.0,0.775991,2.5,-9999.0,1.0,193.034,1.0,51.368,1.0,638.292,1.0,0.0,1.0,-9999.0,1.0,29.957,1.0,0.377,1.0
2024-09-02 14:00:00,12,47.0,1.0,48.0,1.0,-9999.0,1.0,2.5412,1.0,21.1163,1.0,23.6574,1.0,-9999.0,1.0,-9999.0,1.0,0.986786,2.5,-9999.0,1.0,22.517,1.0,52.386,1.0,638.061,1.0,0.0,1.0,-9999.0,1.0,29.931,1.0,0.344,1.0
2024-09-02 15:00:00,12,41.0,2.6,40.0,2.6,-9999.0,1.0,7.7875,1.0,26.7609,1.0,34.5484,1.0,-9999.0,1.0,-9999.0,1.0,1.46566,2.5,-9999.0,1.0,17.732,1.0,53.852,1.0,637.883,1.0,0.0,1.0,-9999.0,1.0,28.753,1.0,1.007,1.0
2024-09-02 16:00:00,12,34.0,1.0,41.0,1.0,-9999.0,1.0,1.4458,1.0,29.0312,1.0,30.4771,1.0,-9999.0,1.0,-9999.0,1.0,0.860846,2.5,-9999.0,1.0,340.271,1.0,54.422,1.0,637.656,1.0,0.0,1.0,-9999.0,1.0,29.227,1.0,0.802,1.0
2024-09-02 17:00:00,12,43.0,1.0,54.0,1.0,-9999.0,1.0,6.5905,1.0,57.5455,1.0,64.136,1.0,-9999.0,1.0,-9999.0,1.0,1.49817,2.5,-9999.0,1.0,353.751,1.0,55.018,1.0,638.104,1.0,0.0,1.0,-9999.0,1.0,28.284,1.0,0.481,1.0
2024-09-02 18:00:00,12,32.0,1.0,57.0,1.0,-9999.0,1.0,1.5704,2.1,57.0549,1.0,58.6253,1.0,-9999.0,1.0,-9999.0,1.0,1.77427,2.5,-9999.0,1.0,1.381,1.0,58.965,1.0,638.649,1.0,0.0,1.0,-9999.0,1.0,26.359,1.0,0.591,1.0
2024-09-02 19:00:00,12,33.0,1.0,45.0,1.0,-9999.0,1.0,6.4323,1.0,54.6857,1.0,61.118,1.0,-9999.0,1.0,-9999.0,1.0,1.63116,2.5,-9999.0,1.0,320.025,1.0,66.58,1.0,639.036,1.0,0.0,1.0,-9999.0,1.0,25.29,1.0,0.263,1.0
2024-09-02 20:00:00,12,42.0,1.0,59.0,1.0,-9999.0,1.0,6.4748,1.0,43.4851,1.0,49.9599,1.0,-9999.0,1.0,-9999.0,1.0,1.28352,2.5,-9999.0,1.0,182.155,1.0,77.65,1.0,639.465,1.0,0.0,1.0,-9999.0,1.0,24.048,1.0,0.506,1.0
2024-09-02 21:00:00,12,50.0,1.0,68.0,1.0,-9999.0,1.0,6.9109,1.0,29.787,1.0,36.6978,1.0,-9999.0,1.0,-9999.0,1.0,1.25116,2.5,-9999.0,1.0,189.848,1.0,81.467,1.0,640.169,1.0,0.0,1.0,-9999.0,1.0,23.421,1.0,0.383,1.0
2024-09-02 22:00:00,12,43.0,1.0,62.0,1.0,-9999.0,1.0,3.8572,1.0,29.1773,1.0,33.0345,1.0,-9999.0,1.0,-9999.0,1.0,1.3939,2.5,-9999.0,1.0,197.345,1.0,89.13,1.0,640.602,1.0,2.21,1.0,-9999.0,1.0,21.662,1.0,0.4,1.0
2024-09-02 23:00:00,12,40.0,1.0,52.0,1.0,-9999.0,1.0,0.4584,2.1,26.0886,1.0,26.5471,1.0,-9999.0,1.0,-9999.0,1.0,1.07304,2.5,-9999.0,1.0,324.162,1.0,95.086,1.0,640.462,1.0,0.03,1.0,-9999.0,1.0,20.437,1.0,0.099,1.0
2024-09-03 00:00:00,12,38.0,1.0,40.0,1.0,-9999.0,1.0,-4.4288,3.0,26.0481,2.6,21.6193,2.6,-9999.0,1.0,-9999.0,1.0,0.930217,2.1,-9999.0,1.0,280.665,1.0,94.516,1.0,640.235,1.0,0.3,1.0,-9999.0,1.0,20.628,1.0,0.058,1.0
2024-09-03 01:00:00,12,35.0,1.0,49.0,1.0,-9999.0,1.0,-2.91,3.0,21.6184,2.6,18.7084,2.6,-9999.0,1.0,-9999.0,1.0,0.971429,2.5,-9999.0,1.0,245.526,1.0,94.651,1.0,640.047,1.0,0.01,1.0,-9999.0,1.0,20.423,1.0,0.078,1.0
2024-09-03 02:00:00,12,37.0,1.0,49.0,1.0,-9999.0,1.0,-1.0167,3.0,24.7046,2.6,23.6879,2.6,-9999.0,1.0,-9999.0,1.0,0.99575,2.5,-9999.0,1.0,182.459,1.0,94.081,1.0,639.853,1.0,0.6,1.0,-9999.0,1.0,20.291,1.0,0.223,1.0
2024-09-03 03:00:00,12,46.0,1.0,52.0,1.0,-9999.0,1.0,-4.854,3.0,17.2707,2.6,12.4167,2.6,-9999.0,1.0,-9999.0,1.0,1.5114,2.5,-9999.0,1.0,177.417,1.0,96.117,1.0,639.49,1.0,1.18,1.0,-9999.0,1.0,19.774,1.0,0.304,1.0
2024-09-03 04:00:00,12,42.0,1.0,47.0,1.0,-9999.0,1.0,-3.5919,3.0,17.8305,2.6,14.2386,2.6,-9999.0,1.0,-9999.0,1.0,1.3166,2.5,-9999.0,1.0,172.22,1.0,96.754,1.0,639.663,1.0,0.67,1.0,-9999.0,1.0,19.458,1.0,0.308,1.0
2024-09-03 05:00:00,12,45.0,2.6,44.0,2.6,-9999.0,1.0,-0.6121,3.0,20.4384,2.6,19.8263,2.6,-9999.0,1.0,-9999.0,1.0,0.953021,2.5,-9999.0,1.0,178.517,1.0,96.01,1.0,640.221,1.0,0.17,1.0,-9999.0,1.0,19.222,1.0,0.562,1.0
2024-09-03 06:00:00,12,47.0,2.6,44.0,2.6,-9999.0,1.0,6.2687,1.0,27.1241,1.0,33.3928,1.0,-9999.0,1.0,-9999.0,1.0,1.05324,2.5,-9999.0,1.0,174.128,1.0,95.386,1.0,641.083,1.0,0.15,1.0,-9999.0,1.0,19.156,1.0,0.774,1.0
2024-09-03 07:00:00,12,34.0,1.0,42.0,1.0,-9999.0,1.0,11.4756,1.0,31.4947,1.0,42.9703,1.0,-9999.0,1.0,-9999.0,1.0,1.18299,2.5,-9999.0,1.0,166.757,1.0,94.638,1.0,641.511,1.0,0.2,1.0,-9999.0,1.0,19.231,1.0,0.505,1.0
2024-09-03 08:00:00,12,38.0,1.0,38.0,1.0,-9999.0,1.0,20.7839,1.0,31.7074,1.0,52.4913,1.0,-9999.0,1.0,-9999.0,1.0,1.21466,2.5,-9999.0,1.0,257.677,1.0,87.237,1.0,641.66,1.0,0.02,1.0,-9999.0,1.0,20.654,1.0,0.084,1.0
2024-09-03 09:00:00,12,43.0,1.0,50.0,1.0,-9999.0,1.0,18.3526,1.0,33.3572,1.0,51.7098,1.0,-9999.0,1.0,-9999.0,1.0,1.63686,2.5,-9999.0,1.0,28.19,1.0,74.348,1.0,641.255,1.0,0.0,1.0,-9999.0,1.0,23.563,1.0,0.166,1.0
2024-09-03 10:00:00,12,985.0,4.2985,47.0,1.0,-9999.0,1.0,12.0931,1.0,40.7526,1.0,52.8456,1.0,-9999.0,1.0,-9999.0,1.0,1.43872,2.5,-9999.0,1.0,235.407,1.0,62.598,1.0,640.384,1.0,0.0,1.0,-9999.0,1.0,25.846,1.0,0.084,1.0
2024-09-03 11:00:00,12,38.0,1.0,48.0,1.0,-9999.0,1.0,3.6593,1.0,35.6021,1.0,39.2615,1.0,-9999.0,1.0,-9999.0,1.0,0.744447,2.5,-9999.0,1.0,357.658,1.0,58.582,1.0,639.472,1.0,0.0,1.0,-9999.0,1.0,27.43,1.0,0.584,1.0
2024-09-03 12:00:00,12,42.0,1.0,58.0,1.0,-9999.0,1.0,-0.0201,3.0,34.7599,2.6,34.7399,2.6,-9999.0,1.0,-9999.0,1.0,0.580795,2.5,-9999.0,1.0,7.843,1.0,56.79,1.0,638.557,1.0,0.0,1.0,-9999.0,1.0,28.526,1.0,0.35,1.0
2024-09-03 13:00:00,12,45.0,1.0,59.0,1.0,-9999.0,1.0,-3.1417,3.0,31.4712,2.6,28.3295,2.6,-9999.0,1.0,-9999.0,1.0,0.965453,2.5,-9999.0,1.0,354.732,1.0,54.315,1.0,637.97,1.0,0.0,1.0,-9999.0,1.0,29.233,1.0,0.866,1.0
2024-09-03 14:00:00,12,32.0,1.0,41.0,1.0,-9999.0,1.0,-2.3462,3.0,18.5152,2.6,16.169,2.6,-9999.0,1.0,-9999.0,1.0,0.931364,2.5,-9999.0,1.0,357.75,1.0,53.853,1.0,637.425,1.0,0.0,1.0,-9999.0,1.0,29.742,1.0,0.927,1.0
2024-09-03 15:00:00,12,27.0,1.0,48.0,1.0,-9999.0,1.0,0.9778,1.0,21.6869,1.0,22.6647,1.0,-9999.0,1.0,-9999.0,1.0,0.918899,2.5,-9999.0,1.0,260.253,1.0,49.683,1.0,636.864,1.0,0.0,1.0,-9999.0,1.0,30.752,1.0,0.162,1.0
2024-09-03 16:00:00,12,34.0,1.0,51.0,1.0,-9999.0,1.0,-0.3186,3.0,31.6209,2.6,31.3023,2.6,-9999.0,1.0,-9999.0,1.0,0.650474,2.5,-9999.0,1.0,308.378,1.0,53.552,1.0,636.843,1.0,0.0,1.0,-9999.0,1.0,29.614,1.0,0.194,1.0
2024-09-03 17:00:00,12,34.0,1.0,73.0,1.0,-9999.0,1.0,7.7307,1.0,44.4071,1.0,52.1379,1.0,-9999.0,1.0,-9999.0,1.0,1.48988,2.5,-9999.0,1.0,80.861,1.0,63.782,1.0,636.997,1.0,0.0,1.0,-9999.0,1.0,28.046,1.0,0.154,1.0
2024-09-03 18:00:00,12,47.0,1.0,71.0,1.0,-9999.0,1.0,32.3826,1.0,38.135,1.0,70.5176,1.0,-9999.0,1.0,-9999.0,1.0,1.77175,2.5,-9999.0,1.0,171.83,1.0,72.827,1.0,637.555,1.0,0.02,1.0,-9999.0,1.0,25.79,1.0,0.397,1.0
2024-09-03 19:00:00,12,40.0,1.0,46.0,1.0,-9999.0,1.0,29.2444,1.0,37.4257,1.0,66.6701,1.0,-9999.0,1.0,-9999.0,1.0,1.49099,2.5,-9999.0,1.0,12.191,1.0,72.957,1.0,638.86,1.0,0.02,1.0,-9999.0,1.0,23.757,1.0,0.977,1.0
2024-09-03 20:00:00,12,13.0,1.0,29.0,1.0,-9999.0,1.0,0.8677,2.1,27.7938,1.0,28.6615,1.0,-9999.0,1.0,-9999.0,1.0,0.707666,2.5,-9999.0,1.0,24.025,1.0,74.758,1.0,639.728,1.0,0.0,1.0,-9999.0,1.0,22.516,1.0,0.578,1.0
2024-09-03 21:00:00,12,14.0,1.0,26.0,1.0,-9999.0,1.0,-4.0568,3.0,21.7743,2.6,17.7175,2.6,-9999.0,1.0,-9999.0,1.0,0.551224,2.5,-9999.0,1.0,4.305,1.0,77.725,1.0,640.269,1.0,0.0,1.0,-9999.0,1.0,21.985,1.0,0.307,1.0
2024-09-03 22:00:00,12,29.0,1.0,36.0,1.0,-9999.0,1.0,3.7394,1.0,34.4068,1.0,38.1463,1.0,-9999.0,1.0,-9999.0,1.0,0.522047,2.5,-9999.0,1.0,357.109,1.0,76.469,1.0,640.66,1.0,0.0,1.0,-9999.0,1.0,22.117,1.0,0.294,1.0
2024-09-03 23:00:00,12,29.0,1.0,35.0,1.0,-9999.0,1.0,9.8984,1.0,36.8916,1.0,46.7899,1.0,-9999.0,1.0,-9999.0,1.0,1.34822,2.5,-9999.0,1.0,354.184,1.0,80.25,1.0,640.483,1.0,0.0,1.0,-9999.0,1.0,21.909,1.0,0.309,1.0
2024-09-04 00:00:00,12,35.0,1.0,46.0,1.0,-9999.0,1.0,17.9146,1.0,32.7443,1.0,50.6589,1.0,-9999.0,1.0,-9999.0,1.0,1.51475,2.1,-9999.0,1.0,356.18,1.0,82.869,1.0,640.403,1.0,0.0,1.0,-9999.0,1.0,21.944,1.0,0.054,1.0
2024-09-04 01:00:00,12,28.0,1.0,52.0,1.0,-9999.0,1.0,19.5377,1.0,29.4893,1.0,49.027,1.0,-9999.0,1.0,-9999.0,1.0,2.18585,2.5,-9999.0,1.0,217.962,1.0,85.988,1.0,640.348,1.0,0.0,1.0,-9999.0,1.0,21.747,1.0,0.155,1.0
2024-09-04 02:00:00,12,29.0,1.0,44.0,1.0,-9999.0,1.0,-0.8475,3.0,20.7111,2.6,19.8636,2.6,-9999.0,1.0,-9999.0,1.0,1.50808,2.5,-9999.0,1.0,179.27,1.0,83.664,1.0,640.071,1.0,0.0,1.0,-9999.0,1.0,21.357,1.0,0.379,1.0
2024-09-04 03:00:00,12,24.0,1.0,25.0,1.0,-9999.0,1.0,-5.0664,3.0,11.3081,2.6,6.2418,2.6,-9999.0,1.0,-9999.0,1.0,1.23751,2.5,-9999.0,1.0,179.435,1.0,83.426,1.0,640.062,1.0,0.0,1.0,-9999.0,1.0,21.087,1.0,0.565,1.0
2024-09-04 04:00:00,12,20.0,1.0,22.0,1.0,-9999.0,1.0,-5.5625,3.0,12.8893,2.6,7.3268,2.6,-9999.0,1.0,-9999.0,1.0,1.17428,2.5,-9999.0,1.0,179.894,1.0,84.866,1.0,640.185,1.0,0.0,1.0,-9999.0,1.0,20.778,1.0,0.452,1.0
2024-09-04 05:00:00,12,12.0,1.0,39.0,1.0,-9999.0,1.0,-1.8192,3.0,17.0657,2.6,15.2465,2.6,-9999.0,1.0,-9999.0,1.0,1.33614,2.5,-9999.0,1.0,190.892,1.0,84.737,1.0,640.496,1.0,0.0,1.0,-9999.0,1.0,20.879,1.0,0.302,1.0
2024-09-04 06:00:00,12,22.0,1.0,43.0,1.0,-9999.0,1.0,10.8786,1.0,25.782,1.0,36.6606,1.0,-9999.0,1.0,-9999.0,1.0,1.23203,2.5,-9999.0,1.0,188.616,1.0,86.165,1.0,640.878,1.0,0.0,1.0,-9999.0,1.0,20.802,1.0,0.617,1.0
2024-09-04 07:00:00,12,36.0,1.0,45.0,1.0,-9999.0,1.0,18.0733,1.0,26.838,1.0,44.9114,1.0,-9999.0,1.0,-9999.0,1.0,1.29133,2.5,-9999.0,1.0,188.849,1.0,84.673,1.0,641.206,1.0,0.0,1.0,-9999.0,1.0,21.184,1.0,0.632,1.0
2024-09-04 08:00:00,12,31.0,1.0,58.0,1.0,-9999.0,1.0,32.219,1.0,29.9937,1.0,62.2126,1.0,-9999.0,1.0,-9999.0,1.0,1.55197,2.5,-9999.0,1.0,183.873,1.0,77.083,1.0,641.318,1.0,0.0,1.0,-9999.0,1.0,22.768,1.0,0.822,1.0
2024-09-04 09:00:00,12,30.0,1.0,84.0,2.2,-9999.0,1.0,16.1144,1.0,24.1756,1.0,40.2901,1.0,-9999.0,1.0,-9999.0,1.0,1.85472,2.5,-9999.0,1.0,182.667,1.0,67.341,1.0,640.812,1.0,0.0,1.0,-9999.0,1.0,24.997,1.0,0.324,1.0
2024-09-04 10:00:00,12,28.0,1.0,40.0,1.0,-9999.0,1.0,7.1087,1.0,22.0547,1.0,29.1634,1.0,-9999.0,1.0,-9999.0,1.0,1.17894,2.5,-9999.0,1.0,87.429,1.0,60.876,1.0,640.135,1.0,0.0,1.0,-9999.0,1.0,26.211,1.0,0.21,1.0
